专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN106646515B,在避障过程中对避障距离进行测量的方法及装置,发明授权,2016-12-30,2017-05-10,2019-11-19,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,G01S17/93(2006.01),G01S17/93(2006.01),1.0,3940.0,雷达及配套设备制造,研发与设计辅助系统生产,专用技术研发与设计汽车安全装置生产传感器生产
CN106428018B,汽车仪表的换档提示方法及其系统,发明授权,2016-12-23,2017-02-22,2019-04-26,北京邦信阳专利商标代理有限公司,授权,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道8号,CHN,,B60W50/14(2012.01),B60W50/14(2012.01),1.0,3660.0,汽车零部件及配件制造,电气设备生产,智能装置生产仪表盘生产
CN104400384B,CJC型弹性旁承侧板固定装置及CJC型弹性旁承压装方法,发明授权,2014-11-20,2015-03-11,2017-01-11,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B23P19/02(2006.01),B23P19/02(2006.01);B25B11/02(2006.01),2.0,3422.0,金属成形机床制造,研发与设计整车组装,制造工艺研发与设计整车组装
CN108230673B,一种车辆行驶路线监控方法、司机客户端和服务器,发明授权,2017-12-29,2018-06-29,2020-09-29,北京路浩知识产权代理有限公司,发明专利权授予,企业,武汉斑马快跑科技有限公司,430000 湖北省武汉市东湖新技术开发区光谷大道41号现代国际设计城一期第一栋23、24、25、26、27层,CHN,.,G08G1/01(2006.01),G08G1/01(2006.01),1.0,3596.0,交通安全、管制及类似专用设备制造,研发与设计电气设备生产,专用技术研发与设计智能装置生产电控系统生产
CN105180704B,一种具有快速咬合结构的散热器主片,发明授权,2015-09-28,2015-12-23,2017-03-15,湖北武汉永嘉专利代理有限公司,实质审查的生效,企业,湖北雷迪特冷却系统股份有限公司,430119 湖北省武汉市武汉经济技术开发区军山街凤凰工业园凤亭南路2号,CHN,,F28F3/00(2006.01),F28F3/00(2006.01),1.0,3352.0,建筑装饰及水暖管道零件制造,辅助系统生产,冷却系统生产
CN103107930B,一种基于主站设备与从站设备的现场总线实现方法,发明授权,2013-02-04,2013-05-15,2016-05-25,华中科技大学专利中心,专利权的终止,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖开发区华工科技园,CHN,,H04L12/40(2006.01),H04L12/40(2006.01);H04L1/00(2006.01),2.0,3921.0,通信系统设备制造,电气设备生产,电控系统生产
CN106856439B,一种方案测试的方法及服务器,发明授权,2016-12-07,2017-06-16,2019-08-02,北京众达德权知识产权代理有限公司,授权,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,H04L12/24(2006.01),H04L12/24(2006.01);H04L29/08(2006.01),2.0,3921.0,通信系统设备制造,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN108519099B,一种实时路况线的接头处理方法,发明授权,2018-03-25,2018-09-11,2020-09-11,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉光庭信息技术股份有限公司,430000 湖北省武汉市东湖开发区光谷软件园一期以西、南湖南路以南光谷软件园六期2幢8层208号,CHN,.,G01C21/36(2006.01),G01C21/36(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN103496373B,两用漏斗车,发明授权,2013-09-29,2014-01-08,2017-01-04,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D7/02(2006.01),B61D7/02(2006.01);B61D3/20(2006.01);B61D7/28(2006.01),3.0,3711.0,铁路机车车辆及动车组制造,整车组装,车厢生产
CN105425627B,基于LIN通信驱动的汽车伺服步进电机,发明授权,2015-11-13,2016-03-23,2018-03-13,武汉河山金堂专利事务所(普通合伙),授权,企业,湖北开特汽车电子电器系统股份有限公司,430064 湖北省武汉市武昌区白沙洲堤后街52号,CHN,.,G05B19/04(2006.01),G05B19/04(2006.01);H02P8/40(2006.01),2.0,4011,工业自动控制系统装置制造,电气设备生产,电动机生产
CN103394444B,不干胶注入辅助装置,发明授权,2013-07-04,2013-11-20,2016-01-06,武汉开元知识产权代理有限公司,授权,企业,武汉东海敏实汽车零部件有限公司,430040 湖北省武汉市东西湖区东西湖大道5647号,CHN,,B05C13/02(2006.01),B05C13/02(2006.01);B05C5/04(2006.01);B05C11/10(2006.01),3.0,3466.0,喷枪及类似器具制造,辅助系统生产,专用技术研发与设计
CN106623799B,一种自动化清洁复杂砂型腔掉砂装置及其操作方法,发明授权,2016-11-03,2017-05-10,2018-04-17,北京天奇智新知识产权代理有限公司,授权,企业,武汉锦瑞技术有限公司,430100 湖北省武汉市蔡甸区常福工业示范园18号地块,CHN,.,B22C9/12(2006.01),B22C9/12(2006.01);B22C23/00(2006.01),2.0,3423,铸造机械制造,制造工艺研发与设计,模具生产
CN104697543B,一种融合个性偏好因子的路径探索方法,发明授权,2015-03-17,2015-06-10,2017-10-10,武汉开元知识产权代理有限公司,授权,企业,武汉中海庭数据技术有限公司,430074 湖北省武汉市东湖开发区软件园中路4号光谷软件园六期2栋7层01室,CHN,,G01C21/34(2006.01),G01C21/34(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN102700386B,一种汽车装饰密封条及其制造方法,发明授权,2012-05-04,2012-10-03,2017-07-11,宁波诚源专利事务所有限公司,授权,企业,武汉东海敏实汽车零部件有限公司,430040 湖北省武汉市东西湖区五环大道金北二路1号,CHN,,B60J10/70(2016.01),B60J10/70(2016.01);B60R13/04(2006.01);B29C47/00(2006.01);B29C47/08(2006.01);B29C47/12(2006.01),5.0,3660.0,汽车零部件及配件制造,车身制造,内外装饰及附件生产
CN110080638B,一种棘轮棘爪配合结构及具有该结构的军用越野车门锁,发明授权,2019-04-23,2019-08-02,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,E05B85/26(2014.01),E05B85/26(2014.01);E05B79/02(2014.01),2.0,3351.0,建筑、家具用金属配件制造,车身制造,车门生产
CN105525803B,带防误锁机构的中控门锁,发明授权,2015-12-07,2016-04-27,2017-08-08,北京远大卓悦知识产权代理事务所(普通合伙),授权,企业,武汉佳特轿车零部件有限公司,430012 湖北省武汉市岱山街汉黄路16号,CHN,,E05B77/48(2014.01),E05B77/48(2014.01);E05B83/36(2014.01);E05B79/22(2014.01);E05B81/06(2014.01);E05B77/16(2014.01),5.0,3351.0,建筑、家具用金属配件制造,辅助系统生产,汽车安保系统生产
CN108054849B,前刮水器电机防水防尘结构及其在汽车上的连接结构,发明授权,2017-12-19,2018-05-18,2019-11-05,武汉开元知识产权代理有限公司,授权,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,,H02K5/10(2006.01),H02K5/10(2006.01);H02K5/124(2006.01);H02K5/20(2006.01);H02K5/22(2006.01);H02K7/10(2006.01),5.0,3811.0,发电机及发电机组制造,辅助系统生产电气设备生产,智能装置生产电动机生产
CN108019101B,用于重卡轻卡商用车上的一体式车门锁,发明授权,2017-12-01,2018-05-11,2019-06-25,北京远大卓悦知识产权代理事务所(普通合伙),专利申请权、专利权的转移,企业,武汉佳特轿车零部件有限公司,430012 湖北省武汉市江岸区岱山街汉黄路16号,CHN,,E05B77/16(2014.01),E05B77/16(2014.01);E05B85/12(2014.01);E05B85/00(2014.01),3.0,3351.0,建筑、家具用金属配件制造,辅助系统生产,车门生产
CN105403114B,一种快速检查仪表板在车身上装配界面的工装,发明授权,2015-10-28,2016-03-16,2018-01-30,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,G01B5/00(2006.01),G01B5/00(2006.01);G01B5/14(2006.01),2.0,4090.0,其他仪器仪表制造业,整车组装研发与设计,汽车测试制造工艺研发与设计
CN110238272B,一种前保左中右外板冲压工艺,发明授权,2019-06-11,2019-09-17,2020-12-29,武汉智嘉联合知识产权代理事务所(普通合伙),发明专利权授予,企业,湖北德道汽车科技有限公司,430000 湖北省武汉市蔡甸区奓山街星光工业园,CHN,.,B21D35/00(2006.01),B21D35/00(2006.01),1.0,3311,金属结构制造,车身制造,制造工艺研发与设计
CN105629197B,一种基于接收信号功率信息的辐射源定位方法,发明授权,2015-12-24,2016-06-01,2018-07-03,武汉开元知识产权代理有限公司,授权,企业,武汉瑞天波谱信息技术有限公司,430075 湖北省武汉市东湖新技术开发区高新大道999号,CHN,.,G01S5/02(2010.01),G01S5/02(2010.01),1.0,3940.0,雷达及配套设备制造,研发与设计,专用技术研发与设计
CN109910610B,组合仪表,发明授权,2019-02-18,2019-06-21,2020-09-29,北京联瑞联丰知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉格瑞恩电子仪表有限公司,430040 湖北省武汉市东西湖区径河农场永丰大队五环东6栋4号（10）,CHN,.,B60K35/00(2006.01),B60K35/00(2006.01),1.0,4022.0,运输设备及生产用计数仪表制造,电气设备生产,仪表盘生产
CN105466704B,一种制动缸活塞行程及闸调器螺杆长度调整的方法,发明授权,2015-11-26,2016-04-06,2018-07-06,武汉科皓知识产权代理事务所(特殊普通合伙),专利申请权、专利权的转移,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,G01M17/08(2006.01),G01M17/08(2006.01),1.0,4015,试验机制造,研发与设计辅助系统生产,制造工艺研发与设计汽车安全装置生产
CN105108218B,大型回转支承安装座连接面加工铣床,发明授权,2015-09-25,2015-12-02,2017-10-10,武汉宇晨专利事务所,授权,企业,武汉神骏专用汽车制造股份有限公司,430311 湖北省武汉市黄陂区滠口街冯岭村,CHN,,B23C3/02(2006.01),B23C3/02(2006.01);B23Q1/01(2006.01);B23Q5/46(2006.01),3.0,3421.0,金属切削机床制造,研发与设计整车组装,制造工艺研发与设计模具生产
CN108313973B,一种非制冷红外探测器的像素级封装结构及加工方法,发明授权,2017-12-27,2018-07-24,2020-05-26,北京清亦华知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉高德红外股份有限公司,430205 湖北省武汉市洪山区武汉市东湖开发区黄龙山南路6号,CHN,.,B81B7/00(2006.01),B81B7/00(2006.01);B81C1/00(2006.01);G01J5/20(2006.01),3.0,3599,其他专用设备制造,研发与设计电气设备生产,制造工艺研发与设计传感器生产
CN110900196B,一种齿环夹具球头柱塞安装工装及安装方法,发明授权,2019-12-31,2020-03-24,2020-11-13,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉协和齿环有限公司,430056 湖北省武汉市武汉经济技术开发区创业三路38号,CHN,.,B23P21/00(2006.01),B23P21/00(2006.01),1.0,3422.0,金属成形机床制造,研发与设计整车组装,制造工艺研发与设计整车组装
CN105258609B,用于快速检测物件间隙的专用卡尺及使用方法,发明授权,2015-11-11,2016-01-20,2018-12-14,武汉开元知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,G01B5/14(2006.01),G01B5/14(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计汽车测试,专用技术研发与设计汽车测试
CN106736138B,一种弧形铝合金型材拼接的组焊工装及组焊工艺方法,发明授权,2016-11-29,2017-05-31,2018-08-21,武汉科皓知识产权代理事务所(特殊普通合伙),专利申请权、专利权的转移,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B23K37/04(2006.01),B23K37/04(2006.01);B23K37/047(2006.01),2.0,3424.0,金属切割及焊接设备制造,研发与设计整车组装车身制造,制造工艺研发与设计模具生产
CN104863092B,一种铜止水与橡胶止水连接模具,发明授权,2015-06-10,2015-08-26,2016-08-24,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,E02B3/16(2006.01),E02B3/16(2006.01),1.0,3597.0,水资源专用机械制造,车身制造,模具生产
CN105848839B,用于波形钢腹板组合结构梁桥的短线匹配预制模板系统,发明授权,2016-03-31,2016-08-10,2018-05-04,北京远大卓悦知识产权代理事务所(普通合伙),授权,企业,中交第二航务工程局有限公司,430048 湖北省武汉市东西湖区金银湖路11号,CHN,.,B28B7/00(2006.01),B28B7/00(2006.01);B28B7/28(2006.01);B28B17/00(2006.01),3.0,3525.0,模具制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN109000917B,一种汽车铰链静态载荷试验台及载荷试验方法,发明授权,2018-08-22,2018-12-14,2020-07-10,武汉开元知识产权代理有限公司,发明专利权授予,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区神龙汽车有限公司技术服务中心,CHN,.,G01M13/00(2019.01),G01M13/00(2019.01);G01M17/007(2006.01),2.0,4015.0,试验机制造,研发与设计汽车测试,专用技术研发与设计汽车测试
CN104612806B,一种新型电子调温器加热件安装结构,发明授权,2014-12-30,2015-05-13,2017-01-11,武汉开元知识产权代理有限公司,授权,企业,东风富士汤姆森调温器有限公司,430056 湖北省武汉市经济技术开发区枫树二路51号,CHN,,F01P7/16(2006.01),F01P7/16(2006.01),1.0,3412.0,内燃机及配件制造,电气设备生产,其他用电装置生产
CN105112984B,一种在涂装生产线制备前处理电泳漆试板的装置,发明授权,2015-09-25,2015-12-02,2017-10-20,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,C25D13/00(2006.01),C25D13/00(2006.01);C25D17/06(2006.01),2.0,3360.0,金属表面处理及热处理加工,车身制造,制造工艺研发与设计
CN108322123B,纯电动车控制器核心控制算法实时跟踪和校正方法及系统,发明授权,2018-01-12,2018-07-24,2019-09-13,武汉开元知识产权代理有限公司,授权,企业,武汉至驱动力科技有限责任公司,430100 湖北省武汉市经济技术开发区军山街小军山社区商业楼1楼101,CHN,,H02P23/14(2006.01),H02P23/14(2006.01),1.0,3811.0,发电机及发电机组制造,研发与设计电气设备生产,专用技术研发与设计控制器生产
CN106096031B,一种带标签的视频排序方法及装置,发明授权,2016-06-27,2016-11-09,2020-06-16,武汉东喻专利代理事务所(普通合伙),发明专利权授予,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市武汉东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,.,G06F16/74(2019.01),G06F16/74(2019.01);G06F16/78(2019.01),2.0,3911.0,计算机整机制造,研发与设计,专用技术研发与设计
